id,content,ideologia
1,"Has the media gotten worse? Or am I just grouchier?...",2
2,"There is no guarantee that anyone (or any algorithm)...",2
3,"The federal government is too big and spends too much...",2
4,"The push for universal basic income ignores the dignity of work...",2
5,"Free markets have lifted more people out of poverty than any bureaucracy...",2
6,"The importance of border security and national sovereignty...",2
7,"Regulations often hurt the very people they are intended to help...",2
8,"The administrative state has become a fourth branch of government...",2
9,"Protecting the Second Amendment is vital for individual liberty...",2
10,"School choice allows parents to escape failing government systems...",2
11,"Tax cuts are the most effective way to stimulate economic growth...",2
12,"The national debt is a moral failure and a threat to future generations...",2
13,"Entitlement reform is necessary to prevent fiscal collapse...",2
14,"Socialism has failed everywhere it has been tried...",2
15,"Individual responsibility is the foundation of a free society...",2
16,"The government should not be picking winners and losers in the economy...",2
17,"Freedom of speech must be protected from campus cancel culture...",2
18,"Judicial activism undermines the rule of law and the Constitution...",2
19,"The family unit is the most important institution in society...",2
20,"Energy independence requires more domestic drilling and less regulation...",2
21,"The EPA's overreach is destroying jobs in the energy sector...",2
22,"Property 2s are the cornerstone of a prosperous nation...",2
23,"Globalism often sacrifices national interests for vague international goals...",2
24,"Big tech censorship is a growing threat to democratic discourse...",2
25,"Public sector unions have too much power over taxpayers...",2
26,"The welfare state creates a cycle of dependency...",2
27,"Government-run healthcare would lead to lower quality and longer waits...",2
28,"A strong military is the best way to ensure peace through strength...",2
29,"Religious freedom is a fundamental human 2 that must be defended...",2
30,"The electoral college protects the voice of smaller states...",2
31,"Voter ID laws are necessary to ensure the integrity of elections...",2
32,"The media's bias is evident in its one-sided reporting...",2
33,"Central planning is always less efficient than the market...",2
34,"Inflation is always and everywhere a monetary phenomenon...",2
35,"The Tenth Amendment grants states the power not held by the feds...",2
36,"Affirmative action should be replaced by meritocracy...",2
37,"The United States is a republic, not a direct democracy...",2
38,"“ We don ’ t want to lay anyone off , ” he said... In Las Vegas... economy is wedded to big crowds...", 1
40,"“ We don ’ t want to lay anyone off , ” he said. In Las Vegas...",1
41,"With Congress heading toward another government shutdown...",1
42,"The White House Commission on Combating Drug Addiction...",1
43,"In 2004 , after the open secularism of John Kerry sunk his chances...",2
44,"To what extent is Fox News Channel ’ s Tucker Carlson responsible...",1
45,"Gardner... managing to convince a law-and-order president...",2
46,"The U.S. Roman Catholic Church used a special exemption...",1
47,"In the weeks following Donald Trump ’ s unexpected victory... fake news...",2
48,"Has the media gotten worse ? Or am I just grouchier ?...",2
49,"A deep state absolutely exists . Some call it administrative state...",2
50,"The store 's employees probably make less money than government...",2
51,"There is no guarantee that anyone ( or any algorithm ) could...",2
52,"If we ban new and controversial ideas without allowing them...",2
53,"In the lead-up to November 8 , several 2-wing websites reported...",2
54,"Socialism gets higher marks than capitalism from Hispanics...",0
55,"Raising a question about the economic system... distribution of wealth...",0
56,"The indictment said Assange was arrested under an extradition treaty...",1
57,"Americans still see big government as top threat facing the country...",2
58,"The EPA's overreach is destroying jobs in the energy sector...",2
59,"The importance of border security and national sovereignty...",2
